iter	RMSE
0	30.22637681
1	29.12080465
2	28.00399528
3	26.90749232
4	25.9279159
5	24.98050737
6	24.08536739
7	23.27523719
8	22.53228029
9	21.86954153
10	21.24407534
11	20.60913177
12	20.01619432
13	19.48488165
14	18.9471041
15	18.46732181
16	18.03632691
17	17.6070283
18	17.22181222
19	16.84267464
20	16.53174516
21	16.19533103
22	15.89731491
23	15.6393931
24	15.39261761
25	15.1734909
26	14.91474923
27	14.68572907
28	14.47540076
29	14.27867437
30	14.11222814
31	13.95212116
32	13.81624684
33	13.67797709
34	13.55775005
35	13.44485538
36	13.32265057
37	13.21761687
38	13.1228144
39	13.04577725
40	12.96444731
41	12.87631921
42	12.80053902
43	12.69947987
44	12.63956293
45	12.56370991
46	12.50910837
47	12.46293419
48	12.41169624
49	12.36539957
50	12.32240406
51	12.27393813
52	12.22981855
53	12.18579116
54	12.14837646
55	12.09647787
56	12.05145893
57	12.02381258
58	11.99972152
59	11.96649638
60	11.93165181
61	11.91077024
62	11.87480089
63	11.85572686
64	11.82936365
65	11.80720986
66	11.78474102
67	11.76068396
68	11.74426964
69	11.72452479
70	11.6915064
71	11.66872548
72	11.64530009
73	11.62813906
74	11.60991144
75	11.58565093
76	11.573417
77	11.55188091
78	11.53455425
79	11.51220915
80	11.49492381
81	11.4746838
82	11.46221328
83	11.44603197
84	11.42296097
85	11.40657136
86	11.38801657
87	11.37385202
88	11.36672578
89	11.34710524
90	11.34144884
91	11.32622065
92	11.31342796
93	11.30221399
94	11.29184114
95	11.2776498
96	11.26553419
97	11.25762338
98	11.24643962
99	11.23739267
100	11.2275079
101	11.2080379
102	11.1963527
103	11.18082673
104	11.17304677
105	11.1632489
106	11.15314248
107	11.14039736
108	11.12486229
109	11.11666605
110	11.10708814
111	11.10338509
112	11.0960359
113	11.0883435
114	11.07939332
115	11.07493237
116	11.06918939
117	11.06354124
118	11.05400271
119	11.04236837
120	11.03661158
121	11.03137782
122	11.02005119
123	11.01280004
124	11.00091052
125	10.99712
126	10.99001222
127	10.98169604
128	10.97558243
129	10.96304733
130	10.95431534
131	10.94486163
132	10.93304081
133	10.92624905
134	10.91961471
135	10.91601633
136	10.91293429
137	10.90002555
138	10.8929783
139	10.88646902
140	10.87794606
141	10.86883186
142	10.86489848
143	10.85702772
144	10.85235823
145	10.84301196
146	10.83672952
147	10.82918836
148	10.82495563
149	10.81751585
150	10.80790034
151	10.8041954
152	10.79003051
153	10.78056595
154	10.77129664
155	10.76002475
156	10.7519542
157	10.74403925
158	10.73640671
159	10.73024112
160	10.72239407
161	10.71420829
162	10.7066566
163	10.70139207
164	10.69095812
165	10.68528882
166	10.68229281
167	10.67405741
168	10.66986092
169	10.66649437
170	10.66237435
171	10.65995694
172	10.648614
173	10.64407484
174	10.6332563
175	10.62574826
176	10.62097954
177	10.61369089
178	10.60574973
179	10.60241893
180	10.59829211
181	10.59283737
182	10.5864105
183	10.58116818
184	10.57535399
185	10.57048529
186	10.56448136
187	10.55949325
188	10.55292866
189	10.54761966
190	10.54417399
191	10.53638999
192	10.52906216
193	10.52064208
194	10.51936063
195	10.51429294
196	10.51140308
197	10.50521013
198	10.50079983
199	10.49089996
200	10.48357276
201	10.4792684
202	10.47285899
203	10.46396984
204	10.46080939
205	10.46005886
206	10.45231401
207	10.44785964
208	10.43964137
209	10.43130078
210	10.42412648
211	10.42124386
212	10.41278529
213	10.40492381
214	10.40139051
215	10.3891046
216	10.38505858
217	10.38392826
218	10.37789247
219	10.37251824
220	10.36760036
221	10.36712674
222	10.3611539
223	10.35400955
224	10.34324557
225	10.34053023
226	10.33594356
227	10.33328241
228	10.32506175
229	10.31788644
230	10.31116459
231	10.30650906
232	10.30487524
233	10.29698347
234	10.29620345
235	10.28524825
236	10.27616654
237	10.26999197
238	10.26298689
239	10.25507065
240	10.24733517
241	10.24669139
242	10.2397987
243	10.23808723
244	10.23251162
245	10.23151986
246	10.22522003
247	10.22030646
248	10.21331496
249	10.20998263
250	10.20368859
251	10.19304121
252	10.18756192
253	10.18019419
254	10.17579553
255	10.16638993
256	10.16284084
257	10.16245256
258	10.15937482
259	10.15336525
260	10.14802164
261	10.13901509
262	10.1346379
263	10.1264875
264	10.12262042
265	10.11827836
266	10.11194968
267	10.10720734
268	10.10294353
269	10.09716566
270	10.09245093
271	10.09155416
272	10.08781431
273	10.0842546
274	10.08195355
275	10.07610288
276	10.07142021
277	10.065819
278	10.05963026
279	10.05285399
280	10.04567263
281	10.04272073
282	10.03811621
283	10.03035765
284	10.02668705
285	10.01684835
286	10.00753974
287	9.996113973
288	9.991616396
289	9.982888041
290	9.976213602
291	9.972876748
292	9.972341983
293	9.968693876
294	9.963937315
295	9.959879426
296	9.954845414
297	9.949749579
298	9.941563843
299	9.934390782
300	9.930093092
301	9.92360406
302	9.923275829
303	9.921717669
304	9.916461968
305	9.907247925
306	9.898652711
307	9.893367618
308	9.893003803
309	9.887931389
310	9.882485789
311	9.877032801
312	9.876719208
313	9.871236049
314	9.866373927
315	9.861562097
316	9.856807352
317	9.847247588
318	9.847023446
319	9.841659887
320	9.835880564
321	9.832145241
322	9.824980513
323	9.817318188
324	9.809136064
325	9.80655829
326	9.801760505
327	9.794631156
328	9.789244491
329	9.784478899
330	9.779662798
331	9.773830894
332	9.766569612
333	9.760616526
334	9.752349296
335	9.749259464
336	9.742979066
337	9.73772375
338	9.733408102
339	9.729978244
340	9.729095874
341	9.725843309
342	9.718953993
343	9.711297017
344	9.706533093
345	9.701794773
346	9.696442768
347	9.691853604
348	9.68507043
349	9.681653346
350	9.681331052
351	9.677074861
352	9.67100011
353	9.668468082
354	9.664567618
355	9.66117999
356	9.656538203
357	9.652740868
358	9.650872716
359	9.647412237
360	9.645723837
361	9.643826525
362	9.639238468
363	9.636675152
364	9.632867149
365	9.624969778
366	9.61937049
367	9.614135218
368	9.610937277
369	9.606792301
370	9.603059276
371	9.596474301
372	9.592561328
373	9.58963812
374	9.586321653
375	9.577679495
376	9.57281727
377	9.566924742
378	9.566652478
379	9.563962281
380	9.555179037
381	9.551184891
382	9.54864397
383	9.539431563
384	9.536791909
385	9.532342954
386	9.525889216
387	9.525626511
388	9.522101375
389	9.514909894
390	9.510689445
391	9.504286201
392	9.500439783
393	9.494041263
394	9.490907377
395	9.485275931
396	9.481909418
397	9.47881417
398	9.473685484
399	9.471308844
400	9.46954975
401	9.466092755
402	9.463355002
403	9.46021268
404	9.456104903
405	9.451744827
406	9.447527414
407	9.444624271
408	9.440599937
409	9.436038433
410	9.433321652
411	9.427105773
412	9.421601663
413	9.419880787
414	9.4164663
415	9.411970205
416	9.408958701
417	9.406328848
418	9.402866746
419	9.398689228
420	9.396608631
421	9.394137364
422	9.389236367
423	9.385505282
424	9.378624673
425	9.374347157
426	9.372240307
427	9.370017859
428	9.366060834
429	9.363525238
430	9.360109076
431	9.355958599
432	9.354664494
433	9.350661712
434	9.344623902
435	9.342501513
436	9.336962185
437	9.333867834
438	9.331188797
439	9.326680948
440	9.319642736
441	9.315616919
442	9.310650751
443	9.309286575
444	9.306088434
445	9.301694773
446	9.298743693
447	9.297090023
448	9.294609333
449	9.292127768
450	9.288141142
451	9.283933075
452	9.280124874
453	9.276363399
454	9.272028117
455	9.268629559
456	9.263858407
457	9.259827688
458	9.257659621
459	9.252145034
460	9.247671557
461	9.243184581
462	9.239735449
463	9.237727101
464	9.234209385
465	9.230515508
466	9.228033304
467	9.224333241
468	9.219150933
469	9.215046153
470	9.211455699
471	9.208392775
472	9.207215361
473	9.203514451
474	9.198054053
475	9.1938637
476	9.190576316
477	9.187825407
478	9.182127635
479	9.178146933
480	9.173213596
481	9.169504814
482	9.168916408
483	9.16548113
484	9.161284598
485	9.158732416
486	9.155493518
487	9.151740964
488	9.148776786
489	9.1452069
490	9.143736047
491	9.141176564
492	9.137023204
493	9.134757315
494	9.132858786
495	9.129348735
496	9.125584032
497	9.123024809
